substance_id,refrigerant_number,requested_property_count,requested_properties,seed_id,mol_id,canonical_smiles,isomeric_smiles,mapping_status,mapping_reason,has_completed_xtb,has_completed_psi4_dft,xtb_request_id,dft_request_id,xtb_enqueue_status,dft_enqueue_status,dft_xyz_source_path,dft_blocking_issue
SUB106,FK-5-1-12,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB031,R-11,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,anchor_r11,mol_cyrmsutzvyginf-uhfffaoysa-n,FC(Cl)(Cl)Cl,FC(Cl)(Cl)Cl,mapped,mapped_by_seed_catalog,1,1,qreq_451af86f453b04fb,qreq_01b949b86e878978,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_451af86f453b04fb/xtbopt.xyz,
SUB108,R-111,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB088,R-1112a,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB083,R-1113,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB117,R-1114,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB112,R-112,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB125,R-1120,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
SUB131,R-1123,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,tierc_candidate_r1123,mol_mizlgwkezapefj-uhfffaoysa-n,FC=C(F)F,FC=C(F)F,mapped,mapped_by_seed_catalog,1,1,qreq_793c80431543b963,qreq_fabd961cfad18f7d,already_completed,already_completed,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_793c80431543b963/xtbopt.xyz,
SUB111,R-112a,10,dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies,,,,,unmapped,no_seed_catalog_match,0,0,,,unmapped,unmapped,,no_seed_catalog_match
