request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes,phase2_task,source_request_id,source_xyz_path,heavy_atom_count,execution_kind,blocker_reason
qreq_5fed1e5e000292ea,mol_cyrmsutzvyginf-uhfffaoysa-n,FC(Cl)(Cl)Cl,FC(Cl)(Cl)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB031,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_451af86f453b04fb/xtbopt.xyz,5,singleton,
qreq_db4921de2cf22620,mol_mizlgwkezapefj-uhfffaoysa-n,FC=C(F)F,FC=C(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB131,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_793c80431543b963/xtbopt.xyz,5,singleton,
qreq_d00f9fcb59b21ef2,mol_ajdizqlsfpqpey-uhfffaoysa-n,FC(F)(Cl)C(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB034,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_dabbbe00062d590c/xtbopt.xyz,8,crest,crest_executor_unavailable
qreq_636bcce88051bba5,mol_bqcidusakpweox-uhfffaoysa-n,C=C(F)F,C=C(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB070,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_acfee86277c25738/xtbopt.xyz,4,singleton,
qreq_77f1ce4c2c53e245,mol_ddmousalmhhkos-uhfffaoysa-n,FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB035,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_85214fd0f9939535/xtbopt.xyz,8,crest,crest_executor_unavailable
qreq_4ffe97fe0d07ec58,mol_bamuexipksrtbs-uhfffaoysa-n,FC(F)(F)C(F)(Cl)Cl,FC(F)(F)C(F)(Cl)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB094,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_6e1ff27ce6594a76/xtbopt.xyz,8,crest,crest_executor_unavailable
qreq_3b26fee83ed7b562,mol_rfcauadvodfslz-uhfffaoysa-n,FC(F)(F)C(F)(F)Cl,FC(F)(F)C(F)(F)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB036,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_68755da2689d9b0c/xtbopt.xyz,8,crest,crest_executor_unavailable
qreq_927eb349d5bb6685,mol_vggsqfucumxweo-uhfffaoysa-n,C=C,C=C,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB030,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_76295c8587ab7ca3/xtbopt.xyz,2,singleton,
qreq_f1732a6c4724430a,mol_wmiykqltonqjes-uhfffaoysa-n,FC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB051,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3fb023cde47fba61/xtbopt.xyz,8,crest,crest_executor_unavailable
qreq_225db092f406a471,mol_pxbrqckwgahehs-uhfffaoysa-n,FC(F)(Cl)Cl,FC(F)(Cl)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB032,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_397c558e01398e9a/xtbopt.xyz,5,singleton,
qreq_425504e28870e067,mol_ohmhbgpwchtmqe-uhfffaoysa-n,FC(F)(F)C(Cl)Cl,FC(F)(F)C(Cl)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB038,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_9d4e941dbcba43dd/xtbopt.xyz,7,crest,crest_executor_unavailable
qreq_5e3935d0737801c8,mol_ldtmpqqawumpks-owojbtedsa-n,FC(F)(F)C=CCl,FC(F)(F)/C=C/Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB011,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_812f8780c08c6013/xtbopt.xyz,7,crest,crest_executor_unavailable
qreq_5d3bb6dad8b425c6,mol_fxrlmcrcydhqfw-uhfffaoysa-n,C=C(F)C(F)(F)F,C=C(F)C(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB009,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3006c4a85e074cd4/xtbopt.xyz,7,crest,crest_executor_unavailable
qreq_d4916ca41bdaba89,mol_cdooaushhfgwsa-owojbtedsa-n,FC=CC(F)(F)F,F/C=C/C(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB010,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_5716a6e5f61b2163/xtbopt.xyz,7,crest,crest_executor_unavailable
qreq_d2ca21ff91dad097,mol_cdooaushhfgwsa-uphrsurjsa-n,FC=CC(F)(F)F,F/C=C\C(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB119,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_6a73f82efdc1e941/xtbopt.xyz,7,crest,crest_executor_unavailable
qreq_405ffe4772cc82ad,mol_bougcjdaqlkbqh-uhfffaoysa-n,FC(Cl)C(F)(F)F,FC(Cl)C(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB039,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4ee26b6711da2d43/xtbopt.xyz,7,crest,crest_executor_unavailable
qreq_251c9878e1fc4295,mol_fdmfuzhcirhgrg-uhfffaoysa-n,C=CC(F)(F)F,C=CC(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB135,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_23819a123f66e55b/xtbopt.xyz,6,crest,crest_executor_unavailable
qreq_5e97fa2fbee7740f,mol_gtlacdsxyulkmz-uhfffaoysa-n,FC(F)C(F)(F)F,FC(F)C(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB002,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_b1b84ff6c1ce26fd/xtbopt.xyz,7,crest,crest_executor_unavailable
qreq_1d29fd611bcbb699,mol_qqonpfptgqhpma-uhfffaoysa-n,C=CC,C=CC,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB029,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_f0a0c8d3203f302e/xtbopt.xyz,3,singleton,
qreq_5840274087c52641,mol_afypfacvudmoha-uhfffaoysa-n,FC(F)(F)Cl,FC(F)(F)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB033,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_1964224e3114dee7/xtbopt.xyz,5,singleton,
qreq_6b5d8c603c36a18e,mol_nlolsxyrjfeota-owojbtedsa-n,FC(F)(F)C=CC(F)(F)F,FC(F)(F)/C=C/C(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB013,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_768a92016b55750f/xtbopt.xyz,10,crest,crest_executor_unavailable
qreq_e92579a143e333e9,mol_wxgnwuvnymjeni-uhfffaoysa-n,FC(F)C(F)F,FC(F)C(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB116,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_0d0e1013c6f83e2c/xtbopt.xyz,6,crest,crest_executor_unavailable
qreq_0bce5469e1dd4365,mol_lvguzgtvoiakkc-uhfffaoysa-n,FCC(F)(F)F,FCC(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance conformer request; source_substance_id=SUB003,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_1ae8eb2731515128/xtbopt.xyz,6,crest,crest_executor_unavailable
qreq_aa716ffc98a58acb,mol_vpayjeuhkvessd-uhfffaoysa-n,FC(F)(F)I,FC(F)(F)I,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB042,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_023fc363a5eed1d7/xtbopt.xyz,5,singleton,
qreq_e80553d958b20967,mol_txeyqdlbpfqvaa-uhfffaoysa-n,FC(F)(F)F,FC(F)(F)F,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB045,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_41c85ba9cddffd06/xtbopt.xyz,5,singleton,
qreq_29fba20316b7c5b9,mol_frchksnazzfgca-uhfffaoysa-n,CC(F)(Cl)Cl,CC(F)(Cl)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB040,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_fe09f64af63b93d0/xtbopt.xyz,5,singleton,
qreq_85738160a2c5ecef,mol_bhnzezwiumjcgf-uhfffaoysa-n,CC(F)(F)Cl,CC(F)(F)Cl,crest,conformer_search,CREST-GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,phase-2 governance conformer request; source_substance_id=SUB041,conformer,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_bdd4b63895efcf43/xtbopt.xyz,5,singleton,
