request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes,phase2_task,source_request_id,source_xyz_path,heavy_atom_count,execution_kind,blocker_reason
qreq_5f64ccc9c1f25765,mol_bqcidusakpweox-uhfffaoysa-n,C=C(F)F,C=C(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB070,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_acfee86277c25738/xtbopt.xyz,4,executor,orca_executor_unavailable
qreq_11c4fe453db8032b,mol_ddmousalmhhkos-uhfffaoysa-n,FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB035,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_85214fd0f9939535/xtbopt.xyz,8,executor,orca_executor_unavailable
qreq_5b73fbb31caad973,mol_bamuexipksrtbs-uhfffaoysa-n,FC(F)(F)C(F)(Cl)Cl,FC(F)(F)C(F)(Cl)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB094,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_6e1ff27ce6594a76/xtbopt.xyz,8,executor,orca_executor_unavailable
qreq_b221692a8a410904,mol_rfcauadvodfslz-uhfffaoysa-n,FC(F)(F)C(F)(F)Cl,FC(F)(F)C(F)(F)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB036,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_68755da2689d9b0c/xtbopt.xyz,8,executor,orca_executor_unavailable
qreq_3775e45f3fd47dd9,mol_vggsqfucumxweo-uhfffaoysa-n,C=C,C=C,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB030,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_76295c8587ab7ca3/xtbopt.xyz,2,executor,orca_executor_unavailable
qreq_47a10321cc30bb58,mol_wmiykqltonqjes-uhfffaoysa-n,FC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB051,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3fb023cde47fba61/xtbopt.xyz,8,executor,orca_executor_unavailable
qreq_de58e4363c299936,mol_pxbrqckwgahehs-uhfffaoysa-n,FC(F)(Cl)Cl,FC(F)(Cl)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB032,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_397c558e01398e9a/xtbopt.xyz,5,executor,orca_executor_unavailable
qreq_80047524066b8f54,mol_ohmhbgpwchtmqe-uhfffaoysa-n,FC(F)(F)C(Cl)Cl,FC(F)(F)C(Cl)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB038,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_9d4e941dbcba43dd/xtbopt.xyz,7,executor,orca_executor_unavailable
qreq_32d66c45746b38da,mol_ldtmpqqawumpks-owojbtedsa-n,FC(F)(F)C=CCl,FC(F)(F)/C=C/Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB011,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_812f8780c08c6013/xtbopt.xyz,7,executor,orca_executor_unavailable
qreq_6962c42a492c5913,mol_fxrlmcrcydhqfw-uhfffaoysa-n,C=C(F)C(F)(F)F,C=C(F)C(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB009,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3006c4a85e074cd4/xtbopt.xyz,7,executor,orca_executor_unavailable
