request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes,phase2_task,source_request_id,source_xyz_path,heavy_atom_count,execution_kind,blocker_reason
qreq_1ef639a7014099db,mol_cyrmsutzvyginf-uhfffaoysa-n,FC(Cl)(Cl)Cl,FC(Cl)(Cl)Cl,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB031,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_451af86f453b04fb/xtbopt.xyz,5,executor,xtb_executor_unavailable
qreq_dab1b3e33fbdbad7,mol_mizlgwkezapefj-uhfffaoysa-n,FC=C(F)F,FC=C(F)F,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB131,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_793c80431543b963/xtbopt.xyz,5,executor,xtb_executor_unavailable
qreq_617ff2b5b5dab4ba,mol_ajdizqlsfpqpey-uhfffaoysa-n,FC(F)(Cl)C(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB034,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_dabbbe00062d590c/xtbopt.xyz,8,executor,xtb_executor_unavailable
qreq_39f3b76bff37c2dc,mol_bqcidusakpweox-uhfffaoysa-n,C=C(F)F,C=C(F)F,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB070,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_acfee86277c25738/xtbopt.xyz,4,executor,xtb_executor_unavailable
qreq_be427cabba9c1cfd,mol_ddmousalmhhkos-uhfffaoysa-n,FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB035,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_85214fd0f9939535/xtbopt.xyz,8,executor,xtb_executor_unavailable
qreq_aa1d1f7c610c8dc8,mol_bamuexipksrtbs-uhfffaoysa-n,FC(F)(F)C(F)(Cl)Cl,FC(F)(F)C(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB094,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_6e1ff27ce6594a76/xtbopt.xyz,8,executor,xtb_executor_unavailable
qreq_c1de778585e029eb,mol_rfcauadvodfslz-uhfffaoysa-n,FC(F)(F)C(F)(F)Cl,FC(F)(F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB036,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_68755da2689d9b0c/xtbopt.xyz,8,executor,xtb_executor_unavailable
qreq_8598f46f13e1b93b,mol_vggsqfucumxweo-uhfffaoysa-n,C=C,C=C,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB030,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_76295c8587ab7ca3/xtbopt.xyz,2,executor,xtb_executor_unavailable
qreq_500e0b37f8e45b15,mol_wmiykqltonqjes-uhfffaoysa-n,FC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB051,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3fb023cde47fba61/xtbopt.xyz,8,executor,xtb_executor_unavailable
qreq_25647ee0e283a796,mol_pxbrqckwgahehs-uhfffaoysa-n,FC(F)(Cl)Cl,FC(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB+hessian,,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance hessian request; source_substance_id=SUB032,hessian,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_397c558e01398e9a/xtbopt.xyz,5,executor,xtb_executor_unavailable
