request_id,mol_id,xyz_path,xyz_status,notes
qreq_793c80431543b963,mol_mizlgwkezapefj-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_793c80431543b963.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_dabbbe00062d590c,mol_ajdizqlsfpqpey-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_dabbbe00062d590c.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_acfee86277c25738,mol_bqcidusakpweox-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_acfee86277c25738.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_85214fd0f9939535,mol_ddmousalmhhkos-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_85214fd0f9939535.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_6e1ff27ce6594a76,mol_bamuexipksrtbs-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_6e1ff27ce6594a76.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_68755da2689d9b0c,mol_rfcauadvodfslz-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_68755da2689d9b0c.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_76295c8587ab7ca3,mol_vggsqfucumxweo-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_76295c8587ab7ca3.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_3fb023cde47fba61,mol_wmiykqltonqjes-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_3fb023cde47fba61.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_812f8780c08c6013,mol_ldtmpqqawumpks-owojbtedsa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_812f8780c08c6013.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_6a73f82efdc1e941,mol_cdooaushhfgwsa-uphrsurjsa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_6a73f82efdc1e941.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_23819a123f66e55b,mol_fdmfuzhcirhgrg-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_23819a123f66e55b.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_1964224e3114dee7,mol_afypfacvudmoha-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_1964224e3114dee7.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_768a92016b55750f,mol_nlolsxyrjfeota-owojbtedsa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_768a92016b55750f.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_0d0e1013c6f83e2c,mol_wxgnwuvnymjeni-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_0d0e1013c6f83e2c.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_023fc363a5eed1d7,mol_vpayjeuhkvessd-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_023fc363a5eed1d7.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_41c85ba9cddffd06,mol_txeyqdlbpfqvaa-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_41c85ba9cddffd06.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_fe09f64af63b93d0,mol_frchksnazzfgca-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_fe09f64af63b93d0.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_ff675f0a83e0ff09,mol_wgzyqosevsxdni-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_ff675f0a83e0ff09.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_a593766a9030d410,mol_ahfmsndoycfeph-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_a593766a9030d410.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_3692175366022297,mol_uhcbbwuqdavsms-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_3692175366022297.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_4e06eeb7fb36f82b,mol_otmsdbzupauedd-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_4e06eeb7fb36f82b.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
