mol_id,seed_id,r_number,canonical_smiles,coverage_tier,entity_scope,property_name,canonical_feature_key,missing_feature_key,recommended_action,priority
mol_cdooaushhfgwsa-uphrsurjsa-n,anchor_r1234zez,R-1234ze(Z),FC=CC(F)(F)F,A,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,106
mol_nbvxsuqywxrmnv-uhfffaoysa-n,anchor_r41,R-41,CF,A,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,106
mol_wzlfpvprzgtckp-uhfffaoysa-n,anchor_r365mfc,R-365mfc,CC(F)(F)CC(F)(F)F,A,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,106
mol_cdooaushhfgwsa-uphrsurjsa-n,anchor_r1234zez,R-1234ze(Z),FC=CC(F)(F)F,A,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,107
mol_nbvxsuqywxrmnv-uhfffaoysa-n,anchor_r41,R-41,CF,A,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,107
mol_wzlfpvprzgtckp-uhfffaoysa-n,anchor_r365mfc,R-365mfc,CC(F)(F)CC(F)(F)F,A,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,107
mol_ajdizqlsfpqpey-uhfffaoysa-n,anchor_r113,R-113,FC(F)(Cl)C(F)(Cl)Cl,A,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,108
mol_cdooaushhfgwsa-uphrsurjsa-n,anchor_r1234zez,R-1234ze(Z),FC=CC(F)(F)F,A,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,108
mol_ddmousalmhhkos-uhfffaoysa-n,anchor_r114,R-114,FC(F)(Cl)C(F)(F)Cl,A,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,108
mol_ldtmpqqawumpks-owojbtedsa-n,anchor_r1233zde,R-1233zd(E),FC(F)(F)C=CCl,A,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,108
mol_nbvxsuqywxrmnv-uhfffaoysa-n,anchor_r41,R-41,CF,A,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,108
