seed_id,r_number,family,query_name,pubchem_query_type,nist_query,nist_query_type,coolprop_fluid,priority_tier,selection_role,coverage_tier,source_bundle,coolprop_support_expected,regulatory_priority,entity_scope,model_inclusion,notes
tierd_pubchem_101375035,,HFO,101375035,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101375035; existing_first_block_match=no
tierd_pubchem_101375036,,HFO,101375036,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101375036; existing_first_block_match=no
tierd_pubchem_101569570,,HFO,101569570,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Difluorovinylideneradical; existing_first_block_match=no
tierd_pubchem_101756993,,HFO,101756993,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101756993; existing_first_block_match=no
tierd_pubchem_101375037,,HFO,101375037,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101375037; existing_first_block_match=no
tierd_pubchem_102181581,,HFO,102181581,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 102181581; existing_first_block_match=no
tierd_pubchem_101205024,,HFO,101205024,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101205024; existing_first_block_match=no
tierd_pubchem_14337712,,HFO,14337712,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 14337712; existing_first_block_match=no
tierd_pubchem_102341610,,HFO,102341610,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 102341610; existing_first_block_match=no
tierd_pubchem_21866237,,HFO,21866237,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Fluoroketene; existing_first_block_match=no
tierd_pubchem_101715345,,HFO,101715345,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101715345; existing_first_block_match=no
tierd_pubchem_14337714,,HFO,14337714,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 14337714; existing_first_block_match=no
tierd_pubchem_100932219,,HFO,100932219,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 100932219; existing_first_block_match=no
tierd_pubchem_12656490,,HFO,12656490,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 12656490; existing_first_block_match=no
tierd_pubchem_12013312,,HFO,12013312,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 12013312; existing_first_block_match=no
tierd_pubchem_141509,,HFO,141509,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Chloroketene; existing_first_block_match=no
tierd_pubchem_13085106,,HFO,13085106,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: difluoroacetyl; existing_first_block_match=no
tierd_pubchem_138303,,HFO,138303,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Trifluorovinyl radical; existing_first_block_match=no
tierd_pubchem_54194175,,HFO,54194175,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: chlorothioketene; existing_first_block_match=no
tierd_pubchem_54462782,,HFO,54462782,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: chlorofluoroketene; existing_first_block_match=no
tierd_pubchem_129808217,,HFO,129808217,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: perfluorothioketene; existing_first_block_match=no
tierd_pubchem_100924384,,HFO,100924384,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 100924384; existing_first_block_match=no
tierd_pubchem_14337717,,HFO,14337717,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 14337717; existing_first_block_match=no
tierd_pubchem_100932218,,HFO,100932218,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 100932218; existing_first_block_match=no
tierd_pubchem_101208074,,HFO,101208074,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101208074; existing_first_block_match=no
tierd_pubchem_57420415,,HFO,57420415,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 57420415; existing_first_block_match=no
tierd_pubchem_78338,,HFO,78338,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Dichloroketene; existing_first_block_match=no
tierd_pubchem_144880,,HFO,144880,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Bromoketene; existing_first_block_match=no
tierd_pubchem_14086017,,HFO,14086017,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Dichlorothioketene; existing_first_block_match=no
tierd_pubchem_12437926,,HFO,12437926,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 12437926; existing_first_block_match=no
tierd_pubchem_91117307,,HFO,91117307,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 91117307; existing_first_block_match=no
tierd_pubchem_141583432,,HFO,141583432,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 141583432; existing_first_block_match=no
tierd_pubchem_58139531,,HFO,58139531,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 58139531; existing_first_block_match=no
tierd_pubchem_12622624,,HFO,12622624,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: SCHEMBL6549686; existing_first_block_match=no
tierd_pubchem_15274065,,HFO,15274065,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: SCHEMBL14543872; existing_first_block_match=no
tierd_pubchem_90922115,,HFO,90922115,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 90922115; existing_first_block_match=no
tierd_pubchem_13054885,,HFO,13054885,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Dibromoethen-1-one; existing_first_block_match=no
tierd_pubchem_148244977,,HFO,148244977,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 148244977; existing_first_block_match=no
tierd_pubchem_59847721,,HFO,59847721,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: SCHEMBL8404098; existing_first_block_match=no
tierd_pubchem_6339,,HFO,6339,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: VINYL FLUORIDE; existing_first_block_match=no
tierd_pubchem_102495618,,HFO,102495618,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 102495618; existing_first_block_match=no
tierd_pubchem_129818051,,HFO,129818051,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: deuterovinyl fluoride; existing_first_block_match=no
tierd_pubchem_102495615,,HFO,102495615,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 102495615; existing_first_block_match=no
tierd_pubchem_20194927,,HFO,20194927,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: SCHEMBL10784993; existing_first_block_match=no
tierd_pubchem_85793947,,HFO,85793947,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,"generated from PubChem bulk pool: Ethenimine, N-fluoro-; existing_first_block_match=no"
tierd_pubchem_101201386,,HFO,101201386,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101201386; existing_first_block_match=no
tierd_pubchem_101201389,,HFO,101201389,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101201389; existing_first_block_match=no
tierd_pubchem_101201390,,HFO,101201390,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101201390; existing_first_block_match=no
tierd_pubchem_101201391,,HFO,101201391,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101201391; existing_first_block_match=no
tierd_pubchem_101201392,,HFO,101201392,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101201392; existing_first_block_match=no
tierd_pubchem_53627952,,HFO,53627952,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 53627952; existing_first_block_match=no
tierd_pubchem_101992229,,HFO,101992229,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101992229; existing_first_block_match=no
tierd_pubchem_6338,,HFO,6338,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: VINYL CHLORIDE; existing_first_block_match=no
tierd_pubchem_12231748,,HFO,12231748,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 12231748; existing_first_block_match=no
tierd_pubchem_23271281,,HFO,23271281,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: deuterovinyl chloride; existing_first_block_match=no
tierd_pubchem_101992230,,HFO,101992230,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101992230; existing_first_block_match=no
tierd_pubchem_71309975,,HFO,71309975,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,"generated from PubChem bulk pool: Vinyl-13C2 chloride, stabilized with hydroquinone, 99 atom % 13C, 98% (CP); existing_first_block_match=no"
tierd_pubchem_12231747,,HFO,12231747,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 12231747; existing_first_block_match=no
tierd_pubchem_23271336,,HFO,23271336,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 23271336; existing_first_block_match=no
tierd_pubchem_138822,,HFO,138822,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: Vinyl chloride-d3; existing_first_block_match=no
tierd_pubchem_157508950,,HFO,157508950,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: SCHEMBL30818321; existing_first_block_match=no
tierd_pubchem_134894101,,HFO,134894101,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 134894101; existing_first_block_match=no
tierd_pubchem_14795067,,HFO,14795067,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: SCHEMBL9860261; existing_first_block_match=no
tierd_pubchem_53628262,,HFO,53628262,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 53628262; existing_first_block_match=no
tierd_pubchem_20194937,,HFO,20194937,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: SCHEMBL9622643; existing_first_block_match=no
tierd_pubchem_23618925,,HFO,23618925,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: SCHEMBL9622641; existing_first_block_match=no
tierd_pubchem_101376857,,HFO,101376857,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101376857; existing_first_block_match=no
tierd_pubchem_101115984,,HFO,101115984,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101115984; existing_first_block_match=no
tierd_pubchem_13284915,,HFO,13284915,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 13284915; existing_first_block_match=no
tierd_pubchem_53628578,,HFO,53628578,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 53628578; existing_first_block_match=no
tierd_pubchem_101169395,,HFO,101169395,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101169395; existing_first_block_match=no
tierd_pubchem_101230275,,HFO,101230275,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: CID 101230275; existing_first_block_match=no
tierd_pubchem_5367499,,HFO,5367499,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: 2268-32-8; existing_first_block_match=no
tierd_pubchem_5463030,,HFO,5463030,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: (Z)-1-Chloro-2-fluoroethylene; existing_first_block_match=no
tierd_pubchem_68026,,HFO,68026,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: 1-chloro-2-fluoroethene; existing_first_block_match=no
tierd_pubchem_75344,,HFO,75344,cid,,name,,4,inventory,D,pubchem_bulk,no,low,candidate,no,generated from PubChem bulk pool: 1-chloro-1-fluoroethene; existing_first_block_match=no
