candidate_key,seed_id,r_number,property_name,reported_value,unit,source_name,source_url,do_not_merge_reason,recommended_next_step,notes
hfo_1132e,tierc_candidate_dfe_e,R-1132(E),gwp_100yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hfo_1132e,tierc_candidate_dfe_e,R-1132(E),gwp_20yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hfo_1132a,tierc_candidate_r1132a,R-1132a,gwp_100yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hfo_1132a,tierc_candidate_r1132a,R-1132a,gwp_20yr,<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hcc_1130e,,R-1130(E),gwp_100yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hcc_1130e,,R-1130(E),gwp_20yr,<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hc_1150,seed_ethylene,R-1150,gwp_100yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hc_1150,seed_ethylene,R-1150,gwp_20yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hc_600,anchor_r600,R-600,gwp_100yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hc_600a,anchor_r600a,R-600a,gwp_100yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hc_601,seed_n_pentane,R-601,gwp_100yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hc_601a,seed_isopentane,R-601a,gwp_100yr,<<1,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
hcfo_1233zde,anchor_r1233zde,R-1233zd(E),odp,<0.0004,dimensionless,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,source reports inequality/bound rather than exact numeric value; current strict/model-ready pipeline has no explicit bound semantics,add bound_value/operator fields or manually adjudicate before ingestion,Captured for audit/review only; not suitable for direct append to manual_property_observations.csv under current contract.
