queue_entry_id,mol_id,campaign_id,model_version,acquisition_strategy,priority_score,uncertainty_score,novelty_score,feasibility_score,hard_constraint_status,recommended_next_action,payload_json,status,created_at,updated_at,expires_at,notes
alq_d82c99229a635a0b54ff,mol_qydypvfesgnlhu-khpplwfesa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.745,0.4,1.0,0.7,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.7, ""novelty"": 1.0, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_methyloleate""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_ad3710794a82e1fb7025,mol_wttjvinhcbclgx-nqlntkrdsa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.743667,0.4,1.0,0.691111,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.6911111111111111, ""novelty"": 1.0, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_methyllinoleate""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_dc615201dc8bbdef3aee,mol_dvwsxzihsuzzkj-ystujmkbsa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.742333,0.4,1.0,0.682222,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.6822222222222223, ""novelty"": 1.0, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_methyllinolenate""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_088ee56c57260a937a67,mol_fbzanxdwqavstq-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.74,0.4,1.0,0.666667,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.6666666666666667, ""novelty"": 1.0, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_md3m""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_c5d1d512bac5928cd826,mol_xmsxqfuhvrwgna-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.734167,0.4,1.0,0.627778,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.6277777777777778, ""novelty"": 1.0, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_d5""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_6cc724f77531dfe4f55e,mol_adanntoyrvpqlj-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.733333,0.4,1.0,0.622222,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.6222222222222222, ""novelty"": 1.0, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_md4m""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_b39d3fbb23b068ad1690,mol_iumsdrxlfwagnt-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.7275,0.4,1.0,0.583333,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.5833333333333333, ""novelty"": 1.0, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_d6""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_caf83d9fd8da71c8fa23,mol_yfcgdeuvhlprcz-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.716667,0.4,0.85,0.711111,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.711111111111111, ""novelty"": 0.85, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_md2m""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_b9c3680e5beda2ddaded,mol_rsjkgscjyjtigs-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.685333,0.4,0.55,0.902222,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.9022222222222223, ""novelty"": 0.55, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_n_undecane""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_93928d408e017395c89c,mol_cxqxsvuqtkdnfp-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.683333,0.4,0.65,0.755556,passed,manual_curation,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.7555555555555555, ""novelty"": 0.65, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_mdm""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
