request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes,phase2_task,source_request_id,source_xyz_path,heavy_atom_count,execution_kind,blocker_reason
qreq_2ebfa90beaf10d43,mol_vpayjeuhkvessd-uhfffaoysa-n,FC(F)(F)I,FC(F)(F)I,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB042,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_023fc363a5eed1d7/xtbopt.xyz,5,executor,orca_executor_unavailable
qreq_c15db07835f4086e,mol_txeyqdlbpfqvaa-uhfffaoysa-n,FC(F)(F)F,FC(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB045,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_41c85ba9cddffd06/xtbopt.xyz,5,executor,orca_executor_unavailable
qreq_98896e4ca3be8232,mol_frchksnazzfgca-uhfffaoysa-n,CC(F)(Cl)Cl,CC(F)(Cl)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB040,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_fe09f64af63b93d0/xtbopt.xyz,5,executor,orca_executor_unavailable
qreq_f2b1d9c7f77a0962,mol_bhnzezwiumjcgf-uhfffaoysa-n,CC(F)(F)Cl,CC(F)(F)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB041,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_bdd4b63895efcf43/xtbopt.xyz,5,executor,orca_executor_unavailable
qreq_8bff03ccebada59d,mol_wgzyqosevsxdni-uhfffaoysa-n,FCC(F)F,FCC(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB129,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_ff675f0a83e0ff09/xtbopt.xyz,5,executor,orca_executor_unavailable
qreq_b001aa2fc957c914,mol_ujpmyeoubpiphq-uhfffaoysa-n,CC(F)(F)F,CC(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB017,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_e09229e346337824/xtbopt.xyz,5,executor,orca_executor_unavailable
qreq_a3d42414133d8399,mol_ahfmsndoycfeph-uhfffaoysa-n,FCCF,FCCF,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB096,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_a593766a9030d410/xtbopt.xyz,4,executor,orca_executor_unavailable
qreq_510f0f29991f0d40,mol_npnpztnlovbdoc-uhfffaoysa-n,CC(F)F,CC(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB004,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_c4e956b4882b3da9/xtbopt.xyz,4,executor,orca_executor_unavailable
qreq_9e12b2e9764cd17f,mol_uhcbbwuqdavsms-uhfffaoysa-n,CCF,CCF,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB099,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3692175366022297/xtbopt.xyz,3,executor,orca_executor_unavailable
qreq_f166244d263628c6,mol_otmsdbzupauedd-uhfffaoysa-n,CC,CC,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB026,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4e06eeb7fb36f82b/xtbopt.xyz,2,executor,orca_executor_unavailable
qreq_ffb9e38e01d9d39c,mol_umnkxpulidjlsu-uhfffaoysa-n,FC(Cl)Cl,FC(Cl)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB046,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_fc864a777b886ebe/xtbopt.xyz,4,executor,orca_executor_unavailable
qreq_118dd609977629fe,mol_qysgyzvsczslht-uhfffaoysa-n,FC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB053,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_030b1aa9a94d0f9f/xtbopt.xyz,11,executor,orca_executor_unavailable
qreq_ee2ddc8d3e43bfc6,mol_vopwnxzwbydodv-uhfffaoysa-n,FC(F)Cl,FC(F)Cl,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB037,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_42936f2e8d47f97e/xtbopt.xyz,4,executor,orca_executor_unavailable
qreq_3c0250bb197493e5,mol_yfmfnykeudldtl-uhfffaoysa-n,FC(C(F)(F)F)C(F)(F)F,FC(C(F)(F)F)C(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB018,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_7409b07997e96b1f/xtbopt.xyz,10,executor,orca_executor_unavailable
qreq_9ce28aaca54bd158,mol_xpdwgbqvdmorpb-uhfffaoysa-n,FC(F)F,FC(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB015,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_95d9aae33b95135b/xtbopt.xyz,4,executor,orca_executor_unavailable
qreq_8f7ea03d94d724b2,mol_fyirupztypildh-uhfffaoysa-n,FC(F)C(F)C(F)(F)F,FC(F)C(F)C(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB020,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_03721bb6b2f4c435/xtbopt.xyz,9,executor,orca_executor_unavailable
qreq_fc674c6f4e060ffc,mol_nsgxibwmjzwtpy-uhfffaoysa-n,FC(F)(F)CC(F)(F)F,FC(F)(F)CC(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB021,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_7dedcb23dc4b48ce/xtbopt.xyz,9,executor,orca_executor_unavailable
qreq_01e505d1b9979288,mol_awtofsdlnreifs-uhfffaoysa-n,FCC(F)(F)C(F)F,FCC(F)(F)C(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB022,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2d80adc47a5db8a9/xtbopt.xyz,8,executor,orca_executor_unavailable
qreq_75da29e0ff1a0afd,mol_mssnhsvigihoja-uhfffaoysa-n,FC(F)CC(F)(F)F,FC(F)CC(F)(F)F,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB023,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2468622b8566b7a8/xtbopt.xyz,8,executor,orca_executor_unavailable
qreq_e7b3fea9dfe8d429,mol_atuoywhbwrkthz-uhfffaoysa-n,CCC,CCC,orca,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,pending_executor_unavailable,run_quantum,phase-2 governance optfreq request; source_substance_id=SUB005,optfreq,,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_3fc552e219566122/xtbopt.xyz,3,executor,orca_executor_unavailable
