request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_d2ecf6bf87c6bc9c,mol_cpaqqpjfmvgxbq-uhfffaoysa-n,FC(F)=C(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)=C(F)C(F)(C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_5b90c0624c6c54c9840b priority_score=0.762; completed quantum pilot results already ingested
qreq_f6e07f2e987637ef,mol_dadafcfjdztokm-uhfffaoysa-n,FC(=C(Cl)C(F)(F)F)C(F)(F)C(F)(F)F,FC(=C(Cl)C(F)(F)F)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_5ab4c1f794b8f96b1e7e priority_score=0.762; completed quantum pilot results already ingested
qreq_4b706f8ca7e45397,mol_dpdkqdlrcniclt-uhfffaoysa-n,FC(F)=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,FC(F)=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_a745128e4e2cf6497193 priority_score=0.762; completed quantum pilot results already ingested
qreq_0978f8b933955a7a,mol_fjyzhzfnobisbm-uhfffaoysa-n,FC(F)(F)C(=C(Cl)Cl)C(F)(F)C(F)(F)F,FC(F)(F)C(=C(Cl)Cl)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_61b4abf3fc897bb05dca priority_score=0.762; completed quantum pilot results already ingested
qreq_a619f4aa90299730,mol_igeqaibreracmg-uhfffaoysa-n,FC(F)(F)C(Cl)=C(C(F)(F)F)C(F)(F)F,FC(F)(F)C(Cl)=C(C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_a64ccfa3d90fd39eb507 priority_score=0.762; completed quantum pilot results already ingested
qreq_378a586002e6ea28,mol_jizmlwvhihlksr-uhfffaoysa-n,FC(=C(Cl)C(F)(Cl)Cl)C(F)(F)C(F)(F)F,FC(=C(Cl)C(F)(Cl)Cl)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_95dd441fa5c134ecc1e3 priority_score=0.762; completed quantum pilot results already ingested
qreq_31267d0c0a1c3faa,mol_kgrarcnbjfqndy-uhfffaoysa-n,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_6e3a099904c67384aa44 priority_score=0.762; completed quantum pilot results already ingested
qreq_5ef1d90ab6f10b0b,mol_myynqantdzxcad-uhfffaoysa-n,FC(F)(F)C(F)(F)C(F)(F)C(Cl)=C(Cl)Cl,FC(F)(F)C(F)(F)C(F)(F)C(Cl)=C(Cl)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_552ebdb900a9ca79df89 priority_score=0.762; completed quantum pilot results already ingested
qreq_c7c342d0032eec14,mol_pbwhqpohaddefu-uhfffaoysa-n,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_83fff0939135eb2025a7 priority_score=0.762; completed quantum pilot results already ingested
qreq_37a60f1481a64d25,mol_ptzotzxeunfykg-uhfffaoysa-n,FC(F)=C(C(F)(F)F)C(F)(F)C(F)(F)F,FC(F)=C(C(F)(F)F)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_00eff3ab6004630b2a58 priority_score=0.762; completed quantum pilot results already ingested
