request_id,mol_id,xyz_path,xyz_status,notes
qreq_d2ecf6bf87c6bc9c,mol_cpaqqpjfmvgxbq-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_d2ecf6bf87c6bc9c.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_f6e07f2e987637ef,mol_dadafcfjdztokm-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_f6e07f2e987637ef.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_4b706f8ca7e45397,mol_dpdkqdlrcniclt-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_4b706f8ca7e45397.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_0978f8b933955a7a,mol_fjyzhzfnobisbm-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_0978f8b933955a7a.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_a619f4aa90299730,mol_igeqaibreracmg-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_a619f4aa90299730.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_378a586002e6ea28,mol_jizmlwvhihlksr-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_378a586002e6ea28.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_31267d0c0a1c3faa,mol_kgrarcnbjfqndy-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_31267d0c0a1c3faa.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_5ef1d90ab6f10b0b,mol_myynqantdzxcad-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_5ef1d90ab6f10b0b.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_c7c342d0032eec14,mol_pbwhqpohaddefu-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_c7c342d0032eec14.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_37a60f1481a64d25,mol_ptzotzxeunfykg-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_37a60f1481a64d25.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
qreq_19f2e6f43831c86c,mol_qtmuescbcjtsib-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_xyz/qreq_19f2e6f43831c86c.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; executor not required; completed quantum pilot results already ingested
