seed_id,r_number,property_name,value,value_num,unit,temperature,pressure,phase,source_type,source_name,source_url,method,uncertainty,quality_level,assessment_version,time_horizon,year,notes
inventory_r611,R-611,boiling_point_c,31.61,31.610000000000014,degC,,0.101325 MPa,vapor-liquid_equilibrium,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
inventory_r611,R-611,acentric_factor,0.2528,0.2528,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
inventory_r114a,R-114a,acentric_factor,0.2539,0.2539,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
inventory_r134,R-134,critical_pressure_mpa,4.612,4.612,MPa,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
inventory_r134,R-134,acentric_factor,0.2925,0.2925,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
inventory_r143,R-143,acentric_factor,0.3373,0.3373,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
inventory_r152,R-152,critical_temp_c,165.85,165.85000000000002,degC,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
inventory_r152,R-152,critical_pressure_mpa,5.568,5.568,MPa,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
inventory_r152,R-152,acentric_factor,0.4216,0.4216,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_dfe_e,,boiling_point_c,-52.65,-52.64999999999998,degC,,0.101325 MPa,vapor-liquid_equilibrium,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_dfe_e,,critical_temp_c,76.85,76.85000000000002,degC,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_dfe_e,,critical_pressure_mpa,6.937,6.937,MPa,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_dfe_e,,acentric_factor,0.3228,0.3228,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_dfe_z,,boiling_point_c,-52.75,-52.74999999999997,degC,,0.101325 MPa,vapor-liquid_equilibrium,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_dfe_z,,critical_temp_c,91.85,91.85000000000002,degC,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_dfe_z,,critical_pressure_mpa,5.144,5.144,MPa,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_dfe_z,,acentric_factor,0.1109,0.1109,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_r1132a,R-1132a,boiling_point_c,-85.57,-85.56999999999996,degC,,0.101325 MPa,vapor-liquid_equilibrium,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_r1132a,R-1132a,critical_temp_c,29.73,29.730000000000018,degC,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_r1132a,R-1132a,critical_pressure_mpa,4.469,4.469,MPa,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_r1132a,R-1132a,acentric_factor,0.1453,0.1453,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_r1123,R-1123,boiling_point_c,-60.91,-60.90999999999997,degC,,0.101325 MPa,vapor-liquid_equilibrium,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_r1123,R-1123,critical_temp_c,58.58,58.58000000000004,degC,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_r1123,R-1123,critical_pressure_mpa,4.536,4.536,MPa,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
tierc_candidate_r1123,R-1123,acentric_factor,0.2479,0.2479,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 1-1-NIST热物性实验数据-Aspen,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=1-1-NIST热物性实验数据-Aspen
seed_n_pentane,R-601,odp,0,0.0,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 2-GWP和ODP,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=2-GWP和ODP
seed_isopentane,R-601A,odp,0,0.0,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 2-GWP和ODP,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=2-GWP和ODP
seed_benzene,,odp,0,0.0,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 2-GWP和ODP,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=2-GWP和ODP
seed_toluene,,odp,0,0.0,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 2-GWP和ODP,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=2-GWP和ODP
inventory_r611,R-611,odp,0,0.0,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 2-GWP和ODP,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=2-GWP和ODP
anchor_r113,R-113,odp,0.82,0.82,dimensionless,,,,derived_harmonized,制冷剂数据库202603.xlsx / 2-GWP和ODP,,Excel 202603 import (CAS/name exact match),,derived_harmonized,,,,matched_by=cas; workbook_sheet=2-GWP和ODP
