seed_id,r_number,property_name,value,value_num,unit,temperature,pressure,phase,source_type,source_name,source_url,method,uncertainty,quality_level,assessment_version,time_horizon,year,notes
seed_hydrogen,R-702,ashrae_safety,A3,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34-2022 table as reproduced in Handbook F25 Ch29,,2025,public ASHRAE handbook table lists R-702 safety group A3; inorganic refrigerant table entry
seed_hydrogen,R-702,toxicity_class,A,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34 toxicity letter,,2025,"derived from ASHRAE safety group A3; Class A is the toxicity letter, not an independent toxicology endpoint"
seed_helium,R-704,ashrae_safety,A1,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34-2022 table as reproduced in Handbook F25 Ch29,,2025,public ASHRAE handbook table lists R-704 safety group A1; inorganic refrigerant table entry
seed_helium,R-704,toxicity_class,A,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34 toxicity letter,,2025,"derived from ASHRAE safety group A1; Class A is the toxicity letter, not an independent toxicology endpoint"
seed_neon,R-720,ashrae_safety,A1,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34-2022 table as reproduced in Handbook F25 Ch29,,2025,public ASHRAE handbook table lists R-720 safety group A1; inorganic refrigerant table entry
seed_neon,R-720,toxicity_class,A,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34 toxicity letter,,2025,"derived from ASHRAE safety group A1; Class A is the toxicity letter, not an independent toxicology endpoint"
seed_nitrogen,R-728,ashrae_safety,A1,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34-2022 table as reproduced in Handbook F25 Ch29,,2025,public ASHRAE handbook table lists R-728 safety group A1; inorganic refrigerant table entry
seed_nitrogen,R-728,toxicity_class,A,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34 toxicity letter,,2025,"derived from ASHRAE safety group A1; Class A is the toxicity letter, not an independent toxicology endpoint"
seed_argon,R-740,ashrae_safety,A1,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34-2022 table as reproduced in Handbook F25 Ch29,,2025,public ASHRAE handbook table lists R-740 safety group A1; inorganic refrigerant table entry
seed_argon,R-740,toxicity_class,A,,class,,,,manual_curated_reference,ASHRAE Handbook Fundamentals Chapter 29,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,manual_curated_public_reference,,manual_curated_reference,ASHRAE Standard 34 toxicity letter,,2025,"derived from ASHRAE safety group A1; Class A is the toxicity letter, not an independent toxicology endpoint"
