request_id,mol_id,conformer_index,relative_energy_kcal_mol,relative_energy_kj_mol,boltzmann_weight,source_xyz,artifact_uri,artifact_sha256,notes
qreq_03858e05bd7e8b9f,mol_rahzwnyvwxnfoc-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_f21d10a38d15d534/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_03858e05bd7e8b9f/qreq_03858e05bd7e8b9f_crest_artifact.tar.gz,d747a0a3d488b1e5eae159cf69f67e840b0c99b818fcc627d403407ca9a75936,phase-2 conformer detail; execution_kind=singleton
qreq_06b2076a27c42be9,mol_mymofizgzyhomd-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_a28744f46b82c10c/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_06b2076a27c42be9/qreq_06b2076a27c42be9_crest_artifact.tar.gz,83d4e92c5f28be894f32ed2d376eef8eb4a372cd280850be75c888163f302663,phase-2 conformer detail; execution_kind=singleton
qreq_06e5d359b1fa2937,mol_awtofsdlnreifs-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2d80adc47a5db8a9/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_06e5d359b1fa2937/qreq_06e5d359b1fa2937_crest_artifact.tar.gz,fc1edcd5950b64446fa2b34168bce7e077a41ef4e72438fb00a21f442fbc3ae1,phase-2 conformer detail; execution_kind=crest
qreq_06e5d359b1fa2937,mol_awtofsdlnreifs-uhfffaoysa-n,2,2.0,8.368,0.25,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2d80adc47a5db8a9/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_06e5d359b1fa2937/qreq_06e5d359b1fa2937_crest_artifact.tar.gz,fc1edcd5950b64446fa2b34168bce7e077a41ef4e72438fb00a21f442fbc3ae1,phase-2 conformer detail; execution_kind=crest
qreq_06e5d359b1fa2937,mol_awtofsdlnreifs-uhfffaoysa-n,3,3.0,12.552,0.379,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2d80adc47a5db8a9/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_06e5d359b1fa2937/qreq_06e5d359b1fa2937_crest_artifact.tar.gz,fc1edcd5950b64446fa2b34168bce7e077a41ef4e72438fb00a21f442fbc3ae1,phase-2 conformer detail; execution_kind=crest
qreq_0bce5469e1dd4365,mol_lvguzgtvoiakkc-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_1ae8eb2731515128/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_0bce5469e1dd4365/qreq_0bce5469e1dd4365_crest_artifact.tar.gz,dfc4f227216000a31b6a22383397625dcfa369a929b0102ab1ba3ad007aa368f,phase-2 conformer detail; execution_kind=crest
qreq_1d29fd611bcbb699,mol_qqonpfptgqhpma-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_f0a0c8d3203f302e/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_1d29fd611bcbb699/qreq_1d29fd611bcbb699_crest_artifact.tar.gz,a61a3ec47caf3b1aca29704f9a18a5a98dd25102485f724263cbc132e98a04dc,phase-2 conformer detail; execution_kind=singleton
qreq_1ef6178dc2820d8d,mol_ijgrmhoshxdmsa-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_2bb701254a8634bc/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_1ef6178dc2820d8d/qreq_1ef6178dc2820d8d_crest_artifact.tar.gz,e98eeb8f67fd3a03ef5ff9933b9b4f291073d7a53f4426552ef2265004c56f8b,phase-2 conformer detail; execution_kind=singleton
qreq_225db092f406a471,mol_pxbrqckwgahehs-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_397c558e01398e9a/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_225db092f406a471/qreq_225db092f406a471_crest_artifact.tar.gz,a3992fcf064b68e8a925ed00c64c0bb1820ac7c9c00533b72aa75089237df87c,phase-2 conformer detail; execution_kind=singleton
qreq_251c9878e1fc4295,mol_fdmfuzhcirhgrg-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_23819a123f66e55b/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_251c9878e1fc4295/qreq_251c9878e1fc4295_crest_artifact.tar.gz,5a38b778adc3135b3c492edadcba9080262ac1bc4cbfc7bee4697ba00b87df4c,phase-2 conformer detail; execution_kind=crest
qreq_251c9878e1fc4295,mol_fdmfuzhcirhgrg-uhfffaoysa-n,2,2.0,8.368,0.526,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_23819a123f66e55b/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_251c9878e1fc4295/qreq_251c9878e1fc4295_crest_artifact.tar.gz,5a38b778adc3135b3c492edadcba9080262ac1bc4cbfc7bee4697ba00b87df4c,phase-2 conformer detail; execution_kind=crest
